/Move,Wait/Straight/Bezier/Bezier2,moveTime,endX,endY,endZ,curveOneX,curveOneY,curveOneZ,curveTwoX,curveTwoY,curveTwoZ
/Face,Direction_Lock/Location_Lock/Free,lookTime,targetX,targetY,targetZ,,,,,,
Move,Wait,3,,,,,,,,,
move,straight,12,-11.63,2,11.47,,,,,,
move,curve,8,-19.18,2,2.06,,,,,,
move,straight,5,-18.56,2,-7.13,,,,,,
move,curve,4,-15.56,2,-11.57,,,,,,
move,straight,5,-9.01,2,-11.6,,,,,,
move,curve,2,-7.29,2,-8.78,,,,,,
move,straight,7,-7.57,2,1.54,,,,,,
move,curve,2,-0.48,2,2.27,,,,,,
move,straight,7,0.1,2,-8.69,,,,,,
move,curve,4,5.4,2,-10.97,,,,,,
move,straight,8,14.56,2,-11.6,,,,,,
move,curve,3,18.71,2,-7.57,,,,,,
move,curve,5,19.179,2,0.627,,,,,,
move,straight,7,11.47,2,1.82,,,,,,
move,curve,2,9.65,2,-10.12,,,,,,
Move,curve,2,-9.73,2,-10.54,,,,,,
Move,curve,2,-9.49,2,4.12,,,,,,
